"ID","TITLE","TIER","TAGS"
"21449","Красивая таблица результатов","Silver 5","구현|수학"
"21450","Место у прохода, пожалуйста","Silver 3","그리디 알고리즘|많은 조건 분기|브루트포스 알고리즘|사칙연산|수학"
"21451","Мост","Platinum 4","기하학|브루트포스 알고리즘"
"21452","Почти беспрефиксные коды","Silver 3","문자열|자료 구조|집합과 맵|해시를 사용한 집합과 맵"
"21453","Обход в глубину","Gold 2","그래프 이론|그래프 탐색|깊이 우선 탐색|스택|자료 구조"
"21454","Драгоценные камни","Silver 2","누적 합|수학|조합론"
"21455","Интересные числа","Gold 4","수학|이분 탐색|정수론"
"21456","Оптимизация","Platinum 2","세그먼트 트리|스위핑|자료 구조"
"21457","Шкафы","Gold 4","그리디 알고리즘"
"21458","Архимедова спираль","Gold 2","미적분학|삼분 탐색|수치해석|수학"
"21459","Сумма","Gold 3","임의 정밀도 / 큰 수 연산"
"21460","Пузырьки 1D","Platinum 1","다이나믹 프로그래밍|재귀"
"21461","Клетка для хомячка","Gold 5","그래프 이론|그래프 탐색|브루트포스 알고리즘|플러드 필"
"21462","Выпуклая оболочка","Platinum 4","기하학|볼록 껍질"
"21463","Выражение","Gold 1","그리디 알고리즘"
"21464","Справедливая последовательность","Silver 3","브루트포스 알고리즘|수학"
"21465","Развлечения с измерителем","Silver 3","기하학|브루트포스 알고리즘|자료 구조|집합과 맵|트리를 사용한 집합과 맵|피타고라스 정리|해시를 사용한 집합과 맵"
"21466","Жребий Крижановского","Bronze 1","구현|브루트포스 알고리즘"
"21467","Программа психологического исследования программистов","Unrated",
"21468","Головоломка","Gold 3","구현|시뮬레이션|애드 혹|해 구성하기"
"21469","Гражданская оборона","Gold 5","스위핑|이분 탐색|정렬"
"21470","Движение по полосам","Silver 1","다이나믹 프로그래밍"
"21471","Шахматный детектив","Unrated",
"21472","Кинотеатр","Silver 1","수학|유클리드 호제법|정수론"
"21473","Цифровое табло","Gold 4","구현|그래프 이론|그래프 탐색|너비 우선 탐색"
"21474","Выборы","Unrated",
"21475","Треугольная рамка","Gold 4","기하학|수학"
"21476","Форматирование документа","Unrated",
"21477","Максимальная сумма","Gold 2","누적 합|다이나믹 프로그래밍"
"21478","Метро","Unrated",
"21479","Число","Platinum 5","그리디 알고리즘|정렬"
"21480","Переключение между окнами","Silver 5","구현|시뮬레이션"
"21481","Раскраска в три цвета","Platinum 2","2-sat|강한 연결 요소|그래프 이론"
"21482","Эльфы и олени","Gold 4","그리디 알고리즘|정렬"
"21483","Эксперимент","Gold 3","0-1 너비 우선 탐색|그래프 이론|그래프 탐색|그리디 알고리즘|데이크스트라|덱|방향 비순환 그래프|위상 정렬|자료 구조|최단 경로"
"21484","Шоссе","Unrated",
"21485","Автомобильные номера","Silver 3","백트래킹|브루트포스 알고리즘"
"21486","Планета Плюк","Gold 4","불변량 찾기|수학|해 구성하기|홀짝성"
"21487","Полигон","Unrated",
"21488","Красно-черные деревья","Platinum 5","다이나믹 프로그래밍|수학|임의 정밀도 / 큰 수 연산|조합론|트리|트리에서의 다이나믹 프로그래밍"
"21489","Изображение таблицы","Silver 3","구현"
"21490","Неправильная считалка","Silver 3","수학|정수론"
"21491","Выбор зала","Silver 1","브루트포스 알고리즘|수학|정수론"
"21492","Призы","Gold 4","누적 합"
"21493","Река","Unrated",
"21494","Чемпионат по поиску в сети Меганет","Unrated",
"21495","Кольцевая линия","Silver 4","애드 혹|해 구성하기"
"21496","Вырубка леса","Silver 2","수학|이분 탐색"
"21497","Укладка плитки","Platinum 5","다이나믹 프로그래밍|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍"
"21498","Магические порталы","Unrated",
"21499","Автоматические друзья","Gold 4","자료 구조|포함 배제의 원리|해시를 사용한 집합과 맵"
"21500","Памятник","Platinum 4","스위핑"
"21501","Вышивка жемчугом","Platinum 5","기하학|세그먼트 트리|오일러 지표 (χ=V-E+F)|자료 구조"
"21502","Пингвиноведение","Diamond 3","그래프 이론|그리디 알고리즘|우선순위 큐|자료 구조|최대 유량|최소 비용 최대 유량"
"21503","Поможем дикой природе","Unrated",
"21504","Подводная лодка","Unrated",
"21505","Фонари","Unrated",
"21506","Сигнализация","Unrated",
"21507","POBEDA-2014","Bronze 2","수학"
"21508","Список школ","Silver 4","문자열|자료 구조|집합과 맵|파싱|해시를 사용한 집합과 맵"
"21509","Межрегиональная олимпиада","Unrated",
"21510","Дом Мэра","Unrated",
"21511","Светофоры","Silver 1","사칙연산|수학"
"21512","Кондиционеры","Silver 1","그리디 알고리즘|우선순위 큐|이분 탐색|자료 구조|정렬"
"21513","Конфеты","Unrated",
"21514","Волонтеры","Unrated",
"21515","Автомат с игрушками","Unrated",
"21516","Робинзон и крокодилы","Unrated",
"21517","Петя и Робот","Unrated",
"21518","Коллайдер 2.0","Unrated",
"21519","Киноакадемия","Silver 2","그리디 알고리즘|정렬"
"21520","Съезд кинозвёзд - 1","Unrated",
"21521","Съезд кинозвёзд - 2","Unrated",
"21522","Съезд кинозвёзд - 3","Unrated",
"21523","Съезд кинозвёзд - 4","Unrated",
"21524","Съезд кинозвёзд - 5","Unrated",
"21525","Съезд кинозвёзд - 6","Unrated",
"21526","Съезд кинозвёзд - 7","Unrated",
"21527","Здоровое питание","Unrated",
"21528","Магистраль <<Урал>>","Unrated",
"21529","Кастинг","Bronze 2","사칙연산|수학"
"21530","Города","Bronze 1","구현|애드 혹"
"21531","A + B = C","Gold 1","다이나믹 프로그래밍|많은 조건 분기|자릿수를 이용한 다이나믹 프로그래밍"
"21532","Березовая аллея","Unrated",
"21533","Игральные кубики","Silver 5","그리디 알고리즘|사칙연산|수학"
"21534","Имена","Gold 4","그리디 알고리즘|문자열"
"21535","Две окружности","Platinum 2","기하학|무작위화|비둘기집 원리|해 구성하기"
"21536","Столицы","Unrated",
"21537","Хоккей на Урале","Unrated",
"21538","Робот-сборщик","Silver 5","구현|문자열"
"21539","Графический редактор <<Хамелеон>>","Unrated",
"21540","Древние династии","Unrated",
"21541","Звёздный путь","Unrated",
"21542","Морской бой","Unrated",
"21543","Массовый прогноз","Diamond 4","누적 합|분할 정복"
"21544","Флешмоб","Unrated",
"21545","Перфокарты","Gold 2","그래프 이론|방향 비순환 그래프|위상 정렬"
"21546","Родные просторы","Diamond 1","다이나믹 프로그래밍|자료 구조|해싱|희소 배열"
"21547","Игра с тайным смыслом","Unrated",
"21548","Доклад инвесторам","Diamond 1",
"21549","Московские числа","Platinum 5","다이나믹 프로그래밍"
"21550","Гаджеты на дереве","Platinum 2","그래프 이론|그래프 탐색|깊이 우선 탐색|트리"
"21551","Вырубка деревьев","Ruby 5","다이나믹 프로그래밍|자료 구조"
"21552","Блогеры-путешественники","Ruby 5","분리 집합|세그먼트 트리|스위핑|이중 연결 요소|자료 구조|최소 공통 조상|트리|희소 배열"
"21553","암호 만들기","Bronze 3","애드 혹"
"21554","마법의 돌 장난감","Silver 4","정렬|해 구성하기"
"21555","빛의 돌 옮기기","Silver 2","다이나믹 프로그래밍"
"21556","우물 파기","Gold 1","매개 변수 탐색|이분 탐색|정렬"
"21557","불꽃놀이","Silver 4","그리디 알고리즘"
"21558","전쟁 준비하기","Gold 5","브루트포스 알고리즘|수학|정수론"
"21559","암호 찾기","Platinum 5","문자열|해싱"
"21560","마법의 돌 조각 연구","Diamond 4","많은 조건 분기"
"21561","빛의 돌 시뮬레이션","Platinum 1",
"21562","우물 유적 발굴하기","Platinum 2","그래프 이론|애드 혹|해 구성하기"
"21563","원형 불꽃놀이","Gold 1","그리디 알고리즘|애드 혹"
"21564","평화롭게 전쟁하기","Diamond 3","다이나믹 프로그래밍|부분집합의 합 다이나믹 프로그래밍|소인수분해|수학|정수론|포함 배제의 원리|폴라드 로"
"21565","논리의 돌","Platinum 1","정렬|해 구성하기"
"21566","트리 정리하기","Platinum 3","그래프 이론|그래프 탐색|깊이 우선 탐색|애드 혹|트리|해 구성하기"
"21567","숫자의 개수 2","Bronze 2","구현|사칙연산|수학"
"21569","Цапли","Bronze 2","사칙연산|수학"
"21570","Круглый стол","Silver 1","그리디 알고리즘|해 구성하기"
"21571","Поврежденный XML","Gold 2","문자열|백트래킹|스택|자료 구조|파싱"
"21572","Игра с числами","Unrated",
"21573","Кондиционер","Bronze 3","구현|많은 조건 분기|문자열"
"21574","Праздничный ужин","Unrated",
"21575","Космический кегельбан","Platinum 5","기하학"
"21576","«Abracadabra»","Unrated",
"21577","Пароль","Silver 1","브루트포스 알고리즘"
"21578","Вирусы и антивирусы","Platinum 1","Heavy-light 분할|세그먼트 트리|스위핑|오일러 경로 테크닉|자료 구조|트리"
"21579","Урюк","Unrated",
"21580","Древний календарь","Unrated",
"21581","Мозаика","Gold 3","스택|애드 혹|자료 구조"
"21582","Театр начинается с актеров","Gold 3","구현|시뮬레이션"
"21583","Ёжик в тумане","Unrated",
"21584","Ордынское войско","Diamond 3","가장 긴 증가하는 부분 수열 문제|다이나믹 프로그래밍|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍"
"21585","Alien Microwave","Gold 2","다이나믹 프로그래밍"
"21586","Another Substring Query Problem","Platinum 1","머지 소트 트리|문자열|세그먼트 트리|자료 구조|접미사 배열과 LCP 배열|정렬"
"21587","Borders","Platinum 2","그래프 이론|이분 매칭|최대 유량"
"21588","Circle of Friends","Platinum 1","누적 합|다이나믹 프로그래밍"
"21589","Finding Polly","Diamond 4",
"21590","Investigating Imposters","Gold 4","그래프 이론|그래프 탐색|깊이 우선 탐색|너비 우선 탐색"
"21591","Laptop Sticker","Bronze 4","구현|사칙연산|수학"
"21592","Longest Common Substring","Silver 5","문자열|브루트포스 알고리즘|집합과 맵"
"21593","Simple Cron Spec","Silver 2","문자열|파싱"
"21594","Surveillance","Diamond 3","기하학|미적분학|수학"
"21595","Train Line","Diamond 1",
"21596","Window Shopping","Diamond 1",
"21597","You Be the Judge!","Silver 4","구현|많은 조건 분기|문자열|소수 판정|수학|정수론"
"21598","SciComLove","Bronze 5","구현"
"21599","아이템 배치하기","Silver 2","그리디 알고리즘|정렬"
"21600","계단","Silver 1","그리디 알고리즘|다이나믹 프로그래밍"
"21601","수건 돌리기","Gold 1","구현|많은 조건 분기|수학|시뮬레이션|재귀"
"21602","Array and Easy Queries","Diamond 2","세그먼트 트리|오프라인 쿼리|자료 구조|제곱근 분할법"
"21603","K 2K 게임","Bronze 3","구현"
"21604","겹강 찾기","Silver 5","애드 혹|해 구성하기"
"21605","아름다운 수열","Silver 1","해 구성하기"
"21606","아침 산책","Gold 3","그래프 이론|그래프 탐색|깊이 우선 탐색|수학|조합론|트리"
"21607","Polynomial and Easy Queries","Platinum 1","세그먼트 트리|수학|애드 혹|자료 구조|차분 배열 트릭|희소 배열"
"21608","상어 초등학교","Gold 5","구현"
"21609","상어 중학교","Gold 1","구현|그래프 이론|그래프 탐색|너비 우선 탐색|시뮬레이션"
"21610","마법사 상어와 비바라기","Gold 5","구현|시뮬레이션"
"21611","마법사 상어와 블리자드","Platinum 5","구현|시뮬레이션"
"21612","Boiling Water","Bronze 4","구현|사칙연산|수학"
"21613","Silent Auction","Bronze 2","구현|문자열"
"21614","Secret Instructions","Bronze 3","구현|사칙연산|수학"
"21615","Arranging Books","Gold 2","그리디 알고리즘"
"21616","Modern Art","Silver 2","수학|애드 혹"
"21617","Crazy Fencing","Bronze 2","기하학|수학"
"21618","Lunch Concert","Gold 3","삼분 탐색"
"21619","Daily Commute","Platinum 5","그래프 이론|그래프 탐색|그리디 알고리즘|너비 우선 탐색|데이크스트라|우선순위 큐|자료 구조|최단 경로|트리를 사용한 집합과 맵|해시를 사용한 집합과 맵"
"21620","Math Homework","Platinum 3","그리디 알고리즘|누적 합|느리게 갱신되는 세그먼트 트리|세그먼트 트리|수학|자료 구조|정수론"
"21621","Jumping Machine","Gold 2","다이나믹 프로그래밍|배낭 문제|수학"
"21622","Triangles and a Circle","Gold 5","기하학|두 포인터"
"21623","Game","Bronze 1","구현"
"21624","Fence","Platinum 4","기하학|볼록 껍질"
"21625","Flag with Stars","Silver 3","브루트포스 알고리즘|수학"
"21626","String Art","Gold 2","그래프 이론|그래프 탐색"
"21627","Ice Cream","Gold 3","그리디 알고리즘|매개 변수 탐색|이분 탐색"
"21628","Perfect Round Dance","Platinum 2","해 구성하기"
"21629","Walk of Three","Gold 3","그래프 이론|그래프 탐색"
"21630","Boring Lesson","Platinum 3","그래프 이론|다이나믹 프로그래밍|데이크스트라|문자열|백트래킹|우선순위 큐|자료 구조|최단 경로"
"21631","Checkers","Bronze 4","구현|수학"
"21632","Magnets","Platinum 3","느리게 갱신되는 세그먼트 트리|세그먼트 트리|자료 구조"
"21633","Bank Transfer","Bronze 4","구현|사칙연산|수학"
"21634","Bacteria","Gold 1","애드 혹|해 구성하기"
"21635","Check Markers","Platinum 3","그리디 알고리즘|홀의 결혼 정리"
"21636","Multiple Subject Lessons","Gold 4","다이나믹 프로그래밍|백트래킹|수학|조합론"
"21637","Prank at IKEA","Platinum 3","구현|그래프 이론|그래프 탐색|애드 혹"
"21638","SMS from MCHS","Bronze 4","구현"
"21639","Cooking","Ruby 3","그래프 이론|일반적인 매칭"
"21640","Hard Work","Diamond 5","다이나믹 프로그래밍|많은 조건 분기|자릿수를 이용한 다이나믹 프로그래밍"
"21641","Points and Segments","Platinum 3","게임 이론|기하학|볼록 껍질|선분 교차 판정"
"21642","Straight","Gold 2","그리디 알고리즘|정렬"
"21643","New Level","Diamond 2","그래프 이론|데이크스트라|분리 집합|우선순위 큐|자료 구조|최단 경로"
"21644","The Firm Knapsack Problem","Diamond 4","그리디 알고리즘|정렬"
"21645","Ролевая игра","Bronze 3","사칙연산|수학"
"21646","«Колесо Фортуны»","Silver 1","구현|시뮬레이션"
"21647","Форматирование текста","Unrated",
"21648","Космические исследования","Unrated",
"21649","Шахматная доска","Bronze 1","많은 조건 분기|수학|홀짝성"
"21650","Чемпионат по стрельбе","Silver 4","구현|정렬"
"21651","Делители","Gold 1","그래프 이론|그래프 탐색|깊이 우선 탐색|백트래킹|수학|정수론"
"21652","Дом у дороги","Unrated",
"21653","Скобки","Gold 3","누적 합|스택|자료 구조"
"21654","Школа олимпийского резерва","Unrated",
"21655","Снова в космос","Unrated",
"21656","Почта","Unrated",
"21657","Парк аттракционов","Unrated",
"21658","Велогонка","Platinum 4","삼분 탐색"
"21659","Сад пермского периода","Unrated",
"21660","Распил бревен","Unrated",
"21661","Соревнование картингистов","Unrated","구현|문자열"
"21662","Дипломы","Silver 2","매개 변수 탐색|이분 탐색"
"21663","Булева функция","Unrated",
"21664","Кольцевая автодорога","Unrated",
"21665","Миша и негатив","Bronze 4","구현|문자열"
"21666","Треугольник Максима","Bronze 1","구현|사칙연산|수학"
"21667","Производство деталей","Unrated",
"21668","Новое слово в рекламе","Unrated",
"21669","Подарок","Diamond 5","브루트포스 알고리즘|수학"
"21670","ЮграНефтеТранс","Unrated",
"21671","Москва – Ханты-Мансийск","Unrated",
"21672","Ханты-Мансийск – Париж","Unrated",
"21673","А олени — лучше!","Unrated",
"21674","Земледелие 2.0","Unrated",
"21675","Черно-белая графика","Bronze 2","구현|문자열"
"21676","Газон","Gold 5","기하학|브루트포스 알고리즘|수학"
"21677","Трамвай","Unrated",
"21678","Треугольники","Gold 5","기하학|수학|조합론"
"21679","Клавиатура","Bronze 3","구현"
"21680","Неправильное сложение","Silver 4","구현|문자열|브루트포스 알고리즘|정렬"
"21681","Числа","Gold 5","다이나믹 프로그래밍|자릿수를 이용한 다이나믹 프로그래밍"
"21682","Перестановки","Unrated",
"21683","Две строки","Silver 5","문자열|브루트포스 알고리즘|사칙연산|수학|임의 정밀도 / 큰 수 연산"
"21684","Скользящая симметрия","Unrated",
"21685","Трехмерный тетрис","Unrated",
"21686","Таблица","Gold 2","누적 합|다이나믹 프로그래밍"
"21687","Гомотетия","Unrated",
"21688","Информатизация садоводства","Unrated",
"21691","Цифры и числа","Unrated",
"21692","Легкоатлетический манеж НГУ","Unrated",
"21695","Школа танцев","Gold 3","누적 합|자료 구조|집합과 맵|해시를 사용한 집합과 맵"
"21696","Стеклянный забор","Unrated",
"21697","Несчастливые номера","Unrated",
"21698","Счастливые цифры","Unrated",
"21699","Тапкодер","Unrated",
"21700","Сочи-2014","Unrated",
"21701","Маджонг","Silver 3","구현|시뮬레이션"
"21702","Дом оригинальности и гармонии","Unrated",
"21703","Цепочка слов","Unrated",
"21704","Забор","Silver 1","구현|그리디 알고리즘|수학"
"21705","Окопы и траншеи","Unrated",
"21706","Планировка кухни","Platinum 5","다이나믹 프로그래밍|임의 정밀도 / 큰 수 연산"
"21707","Урок физкультуры","Unrated",
"21708","Электрички на перегонах не меняют","Unrated",
"21709","Ударим мостом по бездорожью","Unrated",
"21710","То березка, то рябина…","Unrated",
"21711","Теория цифр","Diamond 5","그래프 이론|그래프 탐색|너비 우선 탐색|역추적"
"21712","Интернет на черный день","Unrated",
"21713","Фигурное программирование","Silver 3","구현|브루트포스 알고리즘"
"21714","Пекка развлекается","Unrated",
"21715","Гадание по-карельски","Unrated",
"21716","Операции","Silver 1","구현|문자열|수학|유클리드 호제법|정수론|파싱"
"21717","Кенгуренок Лео","Unrated",
"21718","Студенческие годы Пекки","Unrated",
"21719","Банковские карты","Platinum 4","그리디 알고리즘|다이나믹 프로그래밍"
"21720","Файловый менеджер","Unrated",
"21721","Приключение","Platinum 2","그리디 알고리즘|다이나믹 프로그래밍"
"21722","Автобусы","Unrated",
"21723","Полимино","Unrated",
"21724","Треугольная реформа","Unrated",
"21725","더치페이","Platinum 3","그래프 이론|그래프 탐색|누적 합|분리 집합|자료 구조|작은 집합에서 큰 집합으로 합치는 테크닉"
"21726","운전 브이로그","Diamond 4","값 / 좌표 압축|구현|그래프 이론|다이나믹 프로그래밍|문자열|정렬"
"21727","아즈텍의 섬","Ruby 4","매트로이드"
"21728","트리와 2개의 지름","Ruby 1","다이나믹 프로그래밍|링크/컷 트리|자료 구조|탑 트리|트리|트리에서의 다이나믹 프로그래밍|트리의 지름"
"21729","Inversion Statistics","Diamond 1","뤼카 정리|수학|정수론|조합론"
"21730","불순 분자 만들기","Diamond 4","Heavy-light 분할|느리게 갱신되는 세그먼트 트리|세그먼트 트리|애드 혹|오일러 경로 테크닉|자료 구조|최소 공통 조상|트리"
"21731","메시라이브","Ruby 3","그래프 이론|데이크스트라|분할 정복|쌍대 그래프|최대 유량|평면 그래프"
"21732","SAT-2","Platinum 2","그래프 이론|그래프 탐색|깊이 우선 탐색"
"21733","2차원 점과 쿼리","Diamond 4","세그먼트 트리|자료 구조|집합과 맵"
"21734","SMUPC의 등장","Bronze 2","구현|문자열"
"21735","눈덩이 굴리기","Silver 3","백트래킹|브루트포스 알고리즘"
"21736","헌내기는 친구가 필요해","Silver 2","격자 그래프|그래프 이론|그래프 탐색|깊이 우선 탐색|너비 우선 탐색"
"21737","SMUPC 계산기","Silver 1","구현|문자열|파싱"
"21738","얼음깨기 펭귄","Gold 5","그래프 이론|그래프 탐색|너비 우선 탐색|트리"
"21739","펭귄 네비게이터","Gold 2","다이나믹 프로그래밍|수학|조합론"
"21740","도도의 수학놀이","Platinum 3","그리디 알고리즘|문자열|정렬"
"21741","Ожерелье","Silver 1","구현|시뮬레이션|애드 혹|정렬|해 구성하기"
"21742","Менеджер памяти","Unrated",
"21743","Казино","Diamond 4","다이나믹 프로그래밍|문자열"
"21744","Красивые числа","Platinum 5","많은 조건 분기|수학|해 구성하기"
"21745","Сетевая игра","Unrated",
"21746","Сталкер","Platinum 5","0-1 너비 우선 탐색|그래프 이론|데이크스트라|최단 경로"
"21747","Катание на автобусах","Unrated",
"21748","Старая крепость","Silver 3","기하학|수학|정렬"
"21749","Гистограмма","Bronze 1","구현|문자열"
"21750","Два коня","Gold 5","구현|그래프 이론|그래프 탐색|너비 우선 탐색"
"21751","Сапер","Gold 4","구현|그리디 알고리즘|해 구성하기"
"21752","Интересное число","Platinum 3","그래프 이론|그래프 탐색|너비 우선 탐색|수학|역추적|정수론|최단 경로"
"21753","Треугольник Паскаля","Gold 3","수학|조합론"
"21754","Два прямоугольника","Gold 1","그리디 알고리즘|많은 조건 분기|브루트포스 알고리즘|해 구성하기"
"21755","Цветные нули","Gold 1","다이나믹 프로그래밍|많은 조건 분기|수학|조합론"
"21756","지우개","Bronze 2","구현|수학|시뮬레이션"
"21757","나누기","Gold 2","누적 합|다이나믹 프로그래밍"
"21758","꿀 따기","Gold 5","그리디 알고리즘|누적 합"
"21759","두 개의 팀","Platinum 3","그래프 이론|그래프 탐색|깊이 우선 탐색|다이나믹 프로그래밍|트리|트리에서의 다이나믹 프로그래밍"
"21760","야구 시즌","Silver 5","수학|조합론"
"21761","초직사각형","Platinum 5","그리디 알고리즘|수학|정렬"
"21762","공통 부분 수열 확장","Platinum 4","그리디 알고리즘|누적 합"
"21763","Bingo","Silver 2","많은 조건 분기|애드 혹|해 구성하기"
"21764","Histogram Sequence 2","Silver 3","수학|조합론"
"21765","Opinion Pool","Gold 3","그리디 알고리즘|수학|이분 탐색"
"21766","Three Slices","Platinum 1","두 포인터|세그먼트 트리|이분 탐색|자료 구조"
"21767","Factory Balls","Platinum 3","그래프 이론|그래프 탐색|너비 우선 탐색|다이나믹 프로그래밍|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍"
"21768","AND PLUS OR","Diamond 3","수학"
"21769","Endless Road","Ruby 5","구현|느리게 갱신되는 세그먼트 트리|세그먼트 트리|자료 구조|집합과 맵|트리를 사용한 집합과 맵|해시를 사용한 집합과 맵"
"21770","Fake Plastic Trees 2","Ruby 4","다이나믹 프로그래밍|수학|트리|트리에서의 다이나믹 프로그래밍"
"21771","가희야 거기서 자는 거 아니야","Silver 5","구현|문자열|애드 혹"
"21772","가희의 고구마 먹방","Gold 5","구현|백트래킹|브루트포스 알고리즘"
"21773","가희와 프로세스 1","Gold 5","우선순위 큐|자료 구조"
"21774","가희와 로그 파일","Gold 3","구현|문자열|이분 탐색|파싱"
"21775","가희와 자원 놀이","Gold 5","구현|시뮬레이션|자료 구조|집합과 맵|트리를 사용한 집합과 맵"
"21776","가희와 읽기 쓰기 놀이","Gold 3","구현|문자열|백트래킹|브루트포스 알고리즘|파싱"
"21777","리버스 가희와 프로세스 1","Platinum 5","그리디 알고리즘|해 구성하기"
"21778","가희와 프로세스 2","Platinum 5","우선순위 큐|이분 탐색|자료 구조"
"21779","Aerobatics - 1","Platinum 5","기하학|다이나믹 프로그래밍|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍|외판원 순회 문제"
"21780","Aerobatics - 2","Diamond 4","그리디 알고리즘|외판원 순회 문제|휴리스틱"
"21781","Aerobatics - 3","Diamond 5","담금질 기법|외판원 순회 문제|휴리스틱"
"21782","Aerobatics - 4","Diamond 2","그리디 알고리즘|외판원 순회 문제|휴리스틱"
"21783","Aerobatics - 5","Diamond 3","외판원 순회 문제|휴리스틱"
"21784","Aerobatics - 6","Diamond 2","담금질 기법|외판원 순회 문제|휴리스틱"
"21785","IOI Fever","Diamond 1","구현|그래프 이론|그리디 알고리즘|데이크스트라|최단 경로"
"21786","Food Court","Diamond 3","세그먼트 트리|스위핑|오프라인 쿼리|이분 탐색|자료 구조"
"21787","Escape Route","Ruby 5","그래프 이론|데이크스트라|두 포인터|오프라인 쿼리|정렬|최단 경로"
"21788","Road Construction","Diamond 5","세그먼트 트리|스위핑|이분 탐색|자료 구조"
"21789","Shopping","Ruby 2","구현|그래프 이론|그래프 탐색|깊이 우선 탐색|데카르트 트리|많은 조건 분기|분할 정복|비트마스킹|애드 혹|트리"
"21790","Ancient Machine","Diamond 3","그리디 알고리즘|수학|애드 혹"
"21791","Bodyguard","Diamond 2","다이나믹 프로그래밍|리–차오 트리|볼록 껍질을 이용한 최적화"
"21792","Meetings 2","Diamond 4","분할 정복|세그먼트 트리|센트로이드|센트로이드 분할|자료 구조|집합과 맵|최소 공통 조상|트리|트리의 지름"
"21793","Event Hopping 2","Diamond 5","그리디 알고리즘|자료 구조|희소 배열"
"21794","Navigation 2","Diamond 1","애드 혹"
"21795","Worst Reporter 4","Diamond 3","구현|그래프 이론|다이나믹 프로그래밍|자료 구조|작은 집합에서 큰 집합으로 합치는 테크닉|집합과 맵|트리를 사용한 집합과 맵|함수 개형을 이용한 최적화|함수형 그래프"
"21796","Road Service 2","Diamond 5","그래프 이론|그래프 탐색|너비 우선 탐색|담금질 기법|무작위화|해 구성하기|휴리스틱"
"21797","Road Service 3","Diamond 5","그래프 이론|그래프 탐색|너비 우선 탐색|담금질 기법|무작위화|해 구성하기|휴리스틱"
"21798","Road Service 4","Diamond 5","그래프 이론|그래프 탐색|너비 우선 탐색|담금질 기법|무작위화|해 구성하기|휴리스틱"
"21799","Road Service 5","Diamond 5","그래프 이론|그래프 탐색|너비 우선 탐색|담금질 기법|무작위화|해 구성하기|휴리스틱"
"21800","Road Service 6","Diamond 5","그래프 이론|그래프 탐색|너비 우선 탐색|담금질 기법|무작위화|해 구성하기|휴리스틱"
"21801","Праздники","Unrated",
"21802","Опечатки","Unrated",
"21803","Горнолыжные соревнования","Unrated",
"21804","Pinball","Unrated",
"21806","Красная Шапочка","Unrated",
"21807","Autobahn","Platinum 3","누적 합|스위핑|정렬"
"21808","Cigle","Platinum 1","누적 합|다이나믹 프로그래밍"
"21809","Izvanzemaljci","Unrated",
"21810","MalnaRISC","Diamond 2","애드 혹|정렬"
"21811","United Cows of Farmer John","Diamond 4","느리게 갱신되는 세그먼트 트리|세그먼트 트리|자료 구조"
"21812","Routing Schemes","Diamond 3","다이나믹 프로그래밍|많은 조건 분기"
"21813","Balanced Subsets","Diamond 4","누적 합|다이나믹 프로그래밍"
"21814","United Cows of Farmer John","Platinum 3","세그먼트 트리|자료 구조"
"21815","Portals","Platinum 3","그래프 이론|최소 스패닝 트리"
"21816","Permutation","Diamond 5","기하학|다이나믹 프로그래밍|수학|조합론"
"21817","Maze Tac Toe","Platinum 4","구현|그래프 이론|그래프 탐색|깊이 우선 탐색|너비 우선 탐색|비트마스킹"
"21818","Do You Know Your ABCs?","Platinum 5","구현|브루트포스 알고리즘|수학|집합과 맵"
"21819","Acowdemia","Gold 2","그리디 알고리즘|매개 변수 탐색|이분 탐색"
"21820","Acowdemia I","Gold 5","그리디 알고리즘|매개 변수 탐색|이분 탐색"
"21821","Acowdemia II","Gold 5","문자열|애드 혹"
"21822","Acowdemia III","Gold 3","그리디 알고리즘"
"21823","Swap Swap Sort","Diamond 5","세그먼트 트리|오프라인 쿼리|자료 구조|제곱근 분할법"
"21824","Weird Numeral System","Diamond 5","그래프 이론|그래프 탐색|너비 우선 탐색|다이나믹 프로그래밍|수학"
"21825","Through Another Maze Darkly","Diamond 3","그래프 이론|그래프 탐색|깊이 우선 탐색|세그먼트 트리|오일러 경로 테크닉|오프라인 쿼리|자료 구조|트리"
"21826","Travelling Merchant","Diamond 2","그래프 이론|그래프 탐색|우선순위 큐|자료 구조"
"21827","Bread First Search","Diamond 5","느리게 갱신되는 세그먼트 트리|다이나믹 프로그래밍|세그먼트 트리|자료 구조"
"21828","Loop Town","Ruby 2","값 / 좌표 압축|그리디 알고리즘|세그먼트 트리|수학|자료 구조|정렬"
"21829","Secret","Platinum 3","분할 정복"
"21830","Vote-Value Disparity 2","Silver 3","애드 혹|해 구성하기|휴리스틱"
"21831","Vote-Value Disparity 3","Platinum 2","그래프 이론|그래프 탐색|너비 우선 탐색|휴리스틱"
"21832","Vote-Value Disparity 4","Unrated",
"21833","Vote-Value Disparity 5","Unrated",
"21834","Contact Tracing","Unrated",
"21835","Coronavirus Testing","Unrated",
"21836","Quarantine Math","Unrated",
